employee_id,first_name,last_name,email,hire_date,job_title,salary,store_id,manager_id
55,Carol,Hill,carol.hill55@retailco.com,2020-04-23,Manager,78886.82,97,
56,Robert,Allen,robert.allen56@retailco.com,2020-02-15,Cashier,36223.31,94,
57,Kenneth,Robinson,kenneth.robinson57@retailco.com,2024-01-26,Stock Clerk,36504.57,89,
58,Deborah,Walker,deborah.walker58@retailco.com,2013-12-10,Sales Associate,43696.42,26,
59,Sarah,Lewis,sarah.lewis59@retailco.com,2023-02-01,Sales Associate,41117.59,92,
60,Christopher,Lopez,christopher.lopez60@retailco.com,2018-03-13,Sales Associate,44765.32,40,
61,Emily,Smith,emily.smith61@retailco.com,2017-05-22,Cashier,35200.75,52,
62,Brian,Walker,brian.walker62@retailco.com,2021-01-25,Cashier,28172.43,86,
63,Brian,Thomas,brian.thomas63@retailco.com,2024-05-05,Sales Associate,37904.33,84,
64,Nancy,Thompson,nancy.thompson64@retailco.com,2019-01-28,Cashier,30305.38,48,
65,Linda,Wright,linda.wright65@retailco.com,2023-10-07,Stock Clerk,32765.0,57,
66,Joshua,Jackson,joshua.jackson66@retailco.com,2023-12-24,Manager,79978.85,67,
67,William,Moore,william.moore67@retailco.com,2023-01-04,Manager,84228.85,58,
68,Michael,Smith,michael.smith68@retailco.com,2017-08-30,Cashier,31407.06,16,
69,Donald,Davis,donald.davis69@retailco.com,2015-05-07,Manager,67021.22,32,
70,Andrew,Martin,andrew.martin70@retailco.com,2017-01-22,Manager,84817.54,29,
71,Deborah,King,deborah.king71@retailco.com,2018-11-06,Sales Associate,39083.54,9,
72,Andrew,Flores,andrew.flores72@retailco.com,2016-09-24,Manager,73288.93,44,
73,Thomas,Garcia,thomas.garcia73@retailco.com,2022-07-16,Sales Associate,40831.88,3,
74,Charles,Williams,charles.williams74@retailco.com,2017-03-27,Sales Associate,36523.49,76,
75,Thomas,Nguyen,thomas.nguyen75@retailco.com,2015-05-05,Cashier,29147.76,71,
76,Sarah,Martinez,sarah.martinez76@retailco.com,2018-06-22,Manager,56789.14,30,
77,Mark,Davis,mark.davis77@retailco.com,2023-01-28,Sales Associate,43195.74,76,
78,Mark,Garcia,mark.garcia78@retailco.com,2014-01-18,Cashier,31223.22,29,70
79,Joseph,Torres,joseph.torres79@retailco.com,2012-11-25,Cashier,34722.82,1,
80,Timothy,Lopez,timothy.lopez80@retailco.com,2021-10-10,Sales Associate,39075.67,10,
81,Kenneth,Young,kenneth.young81@retailco.com,2015-08-10,Manager,69100.31,91,
82,Nancy,Clark,nancy.clark82@retailco.com,2012-10-27,Cashier,32004.52,81,
83,Sandra,Garcia,sandra.garcia83@retailco.com,2012-01-10,Sales Associate,33854.75,8,
84,Kevin,Wright,kevin.wright84@retailco.com,2021-11-30,Sales Associate,35001.32,30,76
85,Timothy,Brown,timothy.brown85@retailco.com,2022-11-14,Sales Associate,34096.21,9,
86,Linda,Johnson,linda.johnson86@retailco.com,2024-05-21,Cashier,29583.78,5,
87,Anthony,Garcia,anthony.garcia87@retailco.com,2015-06-15,Sales Associate,46606.88,43,
88,Ashley,Jackson,ashley.jackson88@retailco.com,2022-03-30,Cashier,32825.0,10,
89,Emily,Martinez,emily.martinez89@retailco.com,2013-07-25,Sales Associate,41590.04,66,
90,Sarah,Clark,sarah.clark90@retailco.com,2018-09-11,Sales Associate,40123.8,31,
91,Donna,Nguyen,donna.nguyen91@retailco.com,2024-05-18,Cashier,33385.81,36,
92,Timothy,Wright,timothy.wright92@retailco.com,2024-10-28,Sales Associate,37148.44,86,
93,Matthew,Anderson,matthew.anderson93@retailco.com,2020-07-20,Stock Clerk,39134.3,63,
94,Matthew,Martinez,matthew.martinez94@retailco.com,2014-04-02,Sales Associate,34019.94,28,
95,Mark,Miller,mark.miller95@retailco.com,2015-06-18,Cashier,29441.55,70,54
96,Robert,Walker,robert.walker96@retailco.com,2023-12-20,Sales Associate,43083.27,17,43
97,Matthew,Lee,matthew.lee97@retailco.com,2013-07-14,Cashier,36723.83,93,
98,Jessica,Jackson,jessica.jackson98@retailco.com,2014-04-03,Sales Associate,38943.54,74,
99,Mark,Hernandez,mark.hernandez99@retailco.com,2020-01-15,Cashier,31243.75,74,
100,Lisa,Ramirez,lisa.ramirez100@retailco.com,2015-12-05,Manager,62325.92,61,
