customer_id,first_name,last_name,email,phone,city,state,registration_date,loyalty_tier
57,Sandra,Jones,sandra.jones57@email.com,789-639-7626,Austin,Texas,2022-12-16,Gold
58,Anthony,Jackson,anthony.jackson58@email.com,614-221-6321,Houston,Texas,2016-12-04,Gold
59,Sandra,White,sandra.white59@email.com,647-308-4986,Chicago,Illinois,2019-11-20,Gold
60,Betty,King,betty.king60@email.com,605-517-6562,Chicago,Illinois,2017-06-26,Silver
61,Deborah,Hernandez,deborah.hernandez61@email.com,722-848-2868,Chicago,Illinois,2020-12-13,Silver
62,Richard,Thompson,richard.thompson62@email.com,944-860-3419,Jacksonville,Florida,2017-08-25,Bronze
63,Elizabeth,Taylor,elizabeth.taylor63@email.com,377-816-3504,San Antonio,Texas,2023-07-11,Platinum
64,Dorothy,Jones,dorothy.jones64@email.com,991-843-9095,Philadelphia,Pennsylvania,2020-03-15,Platinum
65,Andrew,Nguyen,andrew.nguyen65@email.com,897-778-6295,Charlotte,North Carolina,2024-09-09,Gold
66,Christopher,Martinez,christopher.martinez66@email.com,269-680-8245,Charlotte,North Carolina,2022-01-30,Bronze
67,Sarah,Nguyen,sarah.nguyen67@email.com,560-719-2215,Los Angeles,California,2018-06-25,Silver
68,Mark,Williams,mark.williams68@email.com,577-493-2257,Los Angeles,California,2022-03-25,Bronze
69,Michelle,Hill,michelle.hill69@email.com,593-673-1672,Indianapolis,Indiana,2020-01-17,Gold
70,Dorothy,Gonzalez,dorothy.gonzalez70@email.com,819-687-9214,Austin,Texas,2016-09-09,Bronze
71,Mark,Miller,mark.miller71@email.com,931-286-9266,Austin,Texas,2022-03-31,Bronze
72,John,Thomas,john.thomas72@email.com,649-736-9564,Charlotte,North Carolina,2021-11-02,Bronze
73,Lisa,White,lisa.white73@email.com,596-618-6543,San Jose,California,2022-08-12,Gold
74,Patricia,Perez,patricia.perez74@email.com,537-296-7333,Chicago,Illinois,2018-03-09,Bronze
75,George,Hill,george.hill75@email.com,541-283-3317,Phoenix,Arizona,2025-04-12,Silver
76,Karen,Sanchez,karen.sanchez76@email.com,809-925-2388,Phoenix,Arizona,2018-06-22,Gold
77,Matthew,Perez,matthew.perez77@email.com,886-919-9624,Phoenix,Arizona,2016-01-18,Gold
78,Kevin,Ramirez,kevin.ramirez78@email.com,570-218-6940,Indianapolis,Indiana,2018-06-19,Bronze
79,Susan,Perez,susan.perez79@email.com,396-431-3253,San Francisco,California,2016-09-26,Bronze
80,Charles,Miller,charles.miller80@email.com,989-752-9626,Indianapolis,Indiana,2015-06-04,Gold
81,Nancy,Flores,nancy.flores81@email.com,811-585-3527,Phoenix,Arizona,2016-10-26,Bronze
82,Brian,Flores,brian.flores82@email.com,938-648-1715,Philadelphia,Pennsylvania,2019-08-10,Silver
83,Carol,Thomas,carol.thomas83@email.com,825-491-8355,Charlotte,North Carolina,2017-08-16,Silver
84,Jessica,Martin,jessica.martin84@email.com,398-576-8218,San Francisco,California,2020-03-06,Platinum
85,Charles,Harris,charles.harris85@email.com,740-628-3655,Indianapolis,Indiana,2024-02-28,Bronze
86,Joshua,Rodriguez,joshua.rodriguez86@email.com,253-856-8873,Dallas,Texas,2024-10-20,Silver
87,Emily,Miller,emily.miller87@email.com,327-491-2374,Indianapolis,Indiana,2023-07-23,Bronze
88,Sarah,Lewis,sarah.lewis88@email.com,350-647-2502,Indianapolis,Indiana,2025-08-12,Bronze
89,Mark,Thompson,mark.thompson89@email.com,624-254-7495,New York,New York,2020-08-18,Silver
90,Jessica,Harris,jessica.harris90@email.com,583-429-1461,Chicago,Illinois,2018-07-29,Bronze
91,Amanda,Perez,amanda.perez91@email.com,340-239-5700,Phoenix,Arizona,2025-04-15,Silver
92,Brian,Rodriguez,brian.rodriguez92@email.com,659-830-1086,San Francisco,California,2025-02-27,Bronze
93,Mary,Taylor,mary.taylor93@email.com,353-761-9647,San Antonio,Texas,2019-09-30,Bronze
94,Deborah,Jackson,deborah.jackson94@email.com,508-324-1782,San Diego,California,2017-09-03,Silver
95,Kenneth,Flores,kenneth.flores95@email.com,264-313-9189,Charlotte,North Carolina,2021-09-10,Silver
96,Mary,Allen,mary.allen96@email.com,447-935-3352,Denver,Colorado,2018-04-08,Silver
97,James,Flores,james.flores97@email.com,446-784-7825,Jacksonville,Florida,2017-02-06,Gold
98,Kevin,Garcia,kevin.garcia98@email.com,569-269-9618,Indianapolis,Indiana,2021-02-06,Silver
99,Steven,Scott,steven.scott99@email.com,599-681-1713,New York,New York,2022-02-16,Silver
100,Lisa,Taylor,lisa.taylor100@email.com,565-269-6649,New York,New York,2017-09-14,Platinum
